ID,name,product,quantity,price|
1,Apple,Smartphone iPhone 14,50,899.00
2,Samsung,Smartphone Galaxy S23,40,799.00
3,Sony,TV 55" OLED,10,1299.00
4,LG,Refrigerator 400L,8,1199.00
5,Bosch,Washing Machine 8kg,12,649.00
6,HP,Laptop Pavilion 15,20,599.00
7,Dell,Laptop XPS 13,15,999.00
8,Logitech,Wireless Mouse MX Master 3,60,49.99
9,Logitech,Mechanical Keyboard,45,89.99
10,Nike,Running Shoes Air Zoom,70,119.99
11,Adidas,Football Shoes Predator,55,129.99

12,Puma,Sports T-Shirt,120,29.99
13,Nestle,Coffee Nescafe 250g,200,6.99
